email,email_domain,country,employee_number,job_title,industry,content_engagement,purchase_history,previous_interactions
youngkristin@ellis-copeland.com,ellis-copeland.com,Jordan,2846,Civil Service administrator,Inc,41,Low,20
velezerika@hotmail.com,hotmail.com,Bahrain,4562,"Conservator, furniture",PLC,43,Low,2
alejandrogomez@davis.com,davis.com,Honduras,849,Heritage manager,LLC,76,High,8
bwright@yahoo.com,yahoo.com,Mali,1822,Best boy,PLC,62,High,7
joshua81@robinson.net,robinson.net,Hungary,2815,Pension scheme manager,Group,60,High,11
hannahkrause@glover.com,glover.com,Saint Lucia,1182,Speech and language therapist,Inc,54,Medium,9
jacqueline18@wright.com,wright.com,Sudan,1356,"Designer, jewellery",Ltd,43,High,10
hollandtiffany@zimmerman.org,zimmerman.org,Cote d'Ivoire,3401,"Therapist, nutritional",Inc,85,Low,2
misty80@hotmail.com,hotmail.com,Brazil,1723,Personnel officer,PLC,78,None,6
markbishop@hotmail.com,hotmail.com,Brazil,4707,Financial adviser,Ltd,32,Medium,11
icollins@gmail.com,gmail.com,Aruba,2305,Landscape architect,and Sons,64,Medium,20
karenlewis@gmail.com,gmail.com,Samoa,3239,"Scientist, marine",Inc,46,Low,20
jessica27@padilla-barrett.biz,padilla-barrett.biz,Guam,4850,Environmental health practitioner,PLC,19,Medium,14
stewartfrances@yahoo.com,yahoo.com,Finland,104,Data processing manager,PLC,27,None,2
kevin73@price.com,price.com,Martinique,4620,"Surveyor, land/geomatics",Inc,20,None,2
john74@phillips-jordan.com,phillips-jordan.com,Tonga,1913,"Designer, graphic",Group,89,High,1
stevenstina@yahoo.com,yahoo.com,Guatemala,1470,Manufacturing systems engineer,and Sons,6,High,5
bobby46@hotmail.com,hotmail.com,Seychelles,1458,Glass blower/designer,PLC,65,Medium,1
jessicamorris@boyd.info,boyd.info,Canada,3556,Research scientist (medical),Ltd,11,Low,20
vbaker@martin.biz,martin.biz,Western Sahara,2042,Charity officer,Ltd,71,Medium,7
emily13@bender.com,bender.com,Mozambique,4354,"Sales professional, IT",PLC,84,High,13
hannah61@howard.biz,howard.biz,Portugal,2504,Geophysicist/field seismologist,and Sons,35,None,19
nancy04@yahoo.com,yahoo.com,Uganda,420,Air traffic controller,Group,70,None,14
courtney85@hotmail.com,hotmail.com,Tajikistan,2741,Restaurant manager,PLC,46,High,10
meadowsjoseph@yahoo.com,yahoo.com,Kuwait,170,"Research officer, political party",and Sons,54,None,19
coxamy@dennis.com,dennis.com,New Zealand,4423,Secretary/administrator,Group,47,None,3
hhancock@hancock.com,hancock.com,Congo,2116,Architectural technologist,Inc,36,Medium,9
christine10@melton-wallace.biz,melton-wallace.biz,Poland,4250,Medical physicist,LLC,6,None,19
scott26@hotmail.com,hotmail.com,Timor-Leste,1523,Musician,Inc,54,High,7
flemingnicholas@hotmail.com,hotmail.com,Vietnam,1346,Hotel manager,Group,63,Medium,12
debrahenry@garcia-yang.com,garcia-yang.com,Kuwait,3534,Arboriculturist,Ltd,90,Low,15
ronald21@gmail.com,gmail.com,Switzerland,3048,Arboriculturist,LLC,7,High,20
lisa78@yahoo.com,yahoo.com,Belize,1730,"Psychotherapist, child",Inc,44,Low,9
holly01@gmail.com,gmail.com,Falkland Islands (Malvinas),4677,Ship broker,Group,5,High,7
gibsonkimberly@yahoo.com,yahoo.com,Saint Barthelemy,3475,Television production assistant,Inc,83,High,11
michael83@garcia.info,garcia.info,Sri Lanka,1727,English as a second language teacher,LLC,69,Medium,14
wellsryan@gmail.com,gmail.com,Iceland,2161,Industrial/product designer,Inc,36,High,13
sherry98@hotmail.com,hotmail.com,Iceland,1831,Heritage manager,LLC,65,Medium,13
yleblanc@yahoo.com,yahoo.com,Guatemala,4127,Risk analyst,PLC,71,High,11
thompsonyvonne@bell.com,bell.com,Lesotho,1257,Medical technical officer,Group,70,High,6
allenrivera@marsh.com,marsh.com,Senegal,3579,"Lighting technician, broadcasting/film/video",Inc,66,Low,6
fischerwesley@hotmail.com,hotmail.com,Afghanistan,3121,"Psychologist, prison and probation services",and Sons,58,Medium,19
hwhite@munoz.biz,munoz.biz,Western Sahara,2750,Data scientist,and Sons,59,Medium,3
martinezhoward@hotmail.com,hotmail.com,Peru,1704,"Scientist, water quality",and Sons,27,Medium,1
tdalton@hotmail.com,hotmail.com,Bangladesh,3696,Water quality scientist,Group,82,Low,5
wbenson@gmail.com,gmail.com,Austria,3155,Chartered certified accountant,and Sons,10,High,7
tbird@gordon.biz,gordon.biz,American Samoa,192,"Scientist, research (maths)",Group,5,Low,2
pmarshall@wilson.net,wilson.net,Norway,4429,Cytogeneticist,LLC,83,High,10
bobby19@harper-king.com,harper-king.com,Bhutan,4787,Stage manager,Group,79,None,12
ppatel@sanchez-huber.com,sanchez-huber.com,Samoa,2004,Medical physicist,and Sons,5,High,9
taylorcassandra@gmail.com,gmail.com,Northern Mariana Islands,2938,Merchant navy officer,Inc,17,None,10
christopherortiz@mata.com,mata.com,Cape Verde,4576,Tree surgeon,Ltd,89,Medium,16
